Наименование маршрута,lat,lon,city
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.974829,104.104449,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.975064,104.104233,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.97521,104.104256,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.975216,104.104007,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.975232,104.103889,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.975194,104.103774,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.975052,104.103592,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.974963,104.103908,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.974636,104.104493,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.974608,104.104603,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.974515,104.104667,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.974484,104.104847,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.97451,104.105265,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.974566,104.105415,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.974956,104.105536,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.975363,104.106043,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.975576,104.106223,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.976022,104.106469,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.976413,104.106774,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.976863,104.10766,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.977312,104.108343,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.977529,104.108452,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.977765,104.108484,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.977966,104.108424,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.978622,104.107859,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.978718,104.107612,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.978801,104.107298,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.979013,104.10708,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.979839,104.106913,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.980377,104.106875,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.980661,104.106901,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.980814,104.106993,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.981562,104.107788,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.981767,104.108386,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.981834,104.109054,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.98203,104.110095,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,51.982529,104.111281,Ольхонское плато
