Наименование маршрута,name,query,url,short_name,address,coords,lat,lon,source,N_point,city
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,"Ольхонское плато, скала Витязь",Скальник Витязь,https://yandex.ru/maps/-/CCUcvKSm8D,Скальник Витязь,"Иркутская область, Шелеховский район, Подкаменское муниципальное образование, Скальник Витязь","51.974820, 104.104524",51.97482,104.104524,,1,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,"Ольхонское плато, скала Старая крепость",https://yandex.ru/maps/org/skalnik_staraya_krepost/160846154162/?ll=104.146345%2C51.971414&mode=search&sll=104.146345%2C51.981418&sspn=0.081244%2C0.040057&text=Скальник%20%22Старая%22%20Крепость&z=12.62,https://yandex.ru/maps/-/CCUcvZTaDB,Скальник Старая крепость,"Иркутская область, Шелеховский район, Большелугское муниципальное образование","51.993011, 104.140778",51.993011,104.140778,,2,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,"Ольхонское плато, скала Старуха Изергиль",https://yandex.ru/maps/org/skalnik_starukha/59053104311/?ll=104.135232%2C51.946686&mode=search&sctx=ZAAAAAgBEAAaKAoSCbg7a7ddCVpAETNwQEtX%2FElAEhIJBWoxeJj2yT8R626e6pCbuT8iBgABAgMEBSgKOABAmI4GSAFiHXJlbGV2X3VzZV9nZW9zZWFyY2hfZ2VvYWRkcj0wYidtaWRkbGVfd2l6ZXh0cmE9dXNlX2dlb3NlYXJjaF9nZW9hZGRyPTBiIW1pZGRsZV93aXpleHRyYT1obnN3X2VtYmVkZGluZ3M9MWoCcnWdAc3MTD2gAQCoAQC9AddU44DCAQa3udv%2B2wHqAQDyAQD4AQCCAh%2FQodGC0LDRgNGD0YXQsCDQmNC30LXRgNCz0LjQu9GMigIAkgIAmgIMZGVza3RvcC1tYXBz&sll=104.135232%2C51.946686&sspn=0.082951%2C0.040930&text=Старуха%20Изергиль&z=13.91,https://yandex.ru/maps/-/CCUcvKcfPB,Скальник Старуха,"Иркутская область, Шелеховский район, Подкаменское муниципальное образование","51.946688, 104.135230",51.946688,104.13523,,3,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,"Ольхонское плато, скала Ворона",https://yandex.ru/maps/org/skalny_ostanets_vorona/36282482716/?ll=103.847043%2C52.044807&mode=search&sll=103.847043%2C52.044147&text=Скальник%20Ворона&z=10,https://yandex.ru/maps/-/CCUgEARw0D,Скальный останец Ворона,"Иркутская область, Шелеховский район","51.943058, 103.931165",51.943058,103.931165,,4,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,"Ольхонское плато, скала Фараон",https://yandex.ru/maps/geo/skalnik_faraon/4406106440/?ll=103.836965%2C51.961773&z=13.92,https://yandex.ru/maps/-/CCUcvKsg8C,Скальник Фараон,"Скальник Фараон, Подкаменское муниципальное образование, Шелеховский район, Иркутская область","51.961772, 103.836964",51.961772,103.836964,,5,Ольхонское плато
Конный маршрут по природным достопримечательностям - скальникам Олхинского плато,"Ольхонское плато, скала Клеопатра",Скальник Клеопатра,https://yandex.ru/maps/-/CCUcvKDRTC,Клеопатра,"Подаптечная ул., 2, Иркутск","52.286546, 104.308385",52.286546,104.308385,,6,Ольхонское плато
Прогулка по старому Усолью,"Иркутская область, г. Усолье-Сибирское, Остров Варничный","Иркутская область, г. Усолье-Сибирское, Остров Варничный",https://yandex.ru/maps/-/CCUcvKx6SC,парк Остров Варничный,"парк Остров Варничный, Усолье-Сибирское, Иркутская область","52.762855, 103.673013",52.762855,103.673013,,1,Усолье-Сибирское
Прогулка по старому Усолью,"Иркутская область, г. Усолье-Сибирское, Курорт «Усолье»","Иркутская область, г. Усолье-Сибирское, Курорт «Усолье»",https://yandex.ru/maps/-/CCUcvOAThC,Усолье,"ул. Горького, 7, Усолье-Сибирское","52.759536, 103.663786",52.759536,103.663786,,2,Усолье-Сибирское
Прогулка по старому Усолью,"Иркутская область, г. Усолье-Сибирское, Улица Карла Маркса","Иркутская область, г. Усолье-Сибирское, Улица Карла Маркса",https://yandex.ru/maps/-/CCUcvOQ22B,улица Карла Маркса,"улица Карла Маркса, Усолье-Сибирское, Иркутская область","52.760272, 103.656349",52.760272,103.656349,,3,Усолье-Сибирское
Прогулка по старому Усолью,"Иркутская область, г. Усолье-Сибирское, Спасо-Преображенский храм","Иркутская область, г. Усолье-Сибирское, Спасо-Преображенский храм",https://yandex.ru/maps/-/CCUgI-s6CB,Церковь Спаса Преображения,"ул. Карла Маркса, 19, Усолье-Сибирское","52.759093, 103.658612",52.759093,103.658612,,4,Усолье-Сибирское
