Наименование маршрута,Город,Описание,source,Пункты маршрута
Иркутск,Иркутск,"Ирку́тск — город в России, административный центр Иркутской области, образует отдельное муниципальное образование Иркутск со статусом городского округа как единственный населённый пункт в его составе[2][3].",https://izi.travel/ru/43c2-irkutsk/ru,"Александр III, Памятник|Памятник Туристу|Леонид Гайдай, Памятник|Памятник Адмиралу Александру Колчаку"
Анималистические скульптуры Иркутска,Иркутск,"Вашему вниманию предлагается маршрут, который будет интересен любителям животных, собирателям интересных фактов и семьям с детьми для совместной непродолжительной прогулки. Также вы увидите места г. Иркутска в которых приятно прогуляться. Пройдемся по набережной Ангары и дойдем до 130 Квартала.",https://izi.travel/ru/e7ec-animalisticheskie-skulptury-irkutska/ru,"Скульптура Иркутская кошка|Скамейка Три обезьяны|Скульптура Корова|деревянная скульптура Медведь|Скульптура Байкальская нерпа|Скульптуры Белые медведи|Памятник Собаке|Скульптура Бабр"
Маршруты Иркутска: страницы Победы,Иркутск,"В дни празднования 75-летия победы в Великой отечественной войны мы подготовили аудиогид по местам военной славы нашего города. Каждый памятник, здание сквер, вошедшие в эту экскурсию, несут в себе личную историю, которая перекликается с миллионами таких же историй по всей стране. У гида нет определённого маршрута - его точки расположены в разных частях города. В экскурсию вошли здания, которые во время войны были госпиталями, заводами, на которых делали патроны и детали для грозных 'Катюш'.  У памятников,  дважды героям Советского союза Афанасию Белобородову и Николаю Челнокову, вы услышите рассказ о подлинном героизме и мужестве иркутян-полководцев. В Свердловском районе вы увидите дом писателя и поэта  Ивана Ивановича Молчанова-Сибирского и лицей, в котором учился режиссер Леонид Гайдай. Оба наших прославленных земляка были фронтовиками. Местами особой памяти являются для нас танк Т-34 'Иркутский комсомолец' на улице Советской, памятный сквер в честь работников Иркутского завода тяжёлого машиностроения и мемориал иркутянам, погибшим в Великой отечественной войны.  В нашем городе его называют Вечным огнём. В День Победы к мемориалу принесут цветы в память о тех, кто отдал свою жизнь ради мирного неба над нашей головой.",https://izi.travel/ru/1dc4-marshruty-irkutska-stranicy-pobedy/ru,"Дом Ивана Ивановича Молчанова-Сибирского|Леонид Гайдай|Улица Челнокова и бюст Н. В. Челнокова|Мемориал иркутянам, погибшим в Великой Отечественной войне|Здание Иркутского авиационного техникума|Здание Байкальского государственного университета|Факультетские клиники Иркутского медицинского университета|Лицей № 3 города Иркутска|Ремесленное училище|Сквер памяти работникам ИЗТМ|Танк Т-34 «Иркутский комсомолец»|Иркутский областной суд. Тополиная аллея у Иркутского областного суда. Улица Байкальская (бывш. Коминтерна, Большая Русиновская)"
Достропримечательности города Зима,Зима,"Приветствую, уважаемый гость! ",https://www.izi.travel/ru/99b9-dostroprimechatelnosti-goroda-zima/ru,"Парк Победы|Водонапорная башня|Памятник зиминским погибшим железнодорожникам в годы Великой Отечественной войны.|Памятник А.Н.Гринчику|Памятник Ямщику|Памятник покорителям космоса|Дом-музей поэзии|Памятник Е.А Евтушенко|Памятник погибшим жителям станции Зима в годы Гражданской войны"
Культурный маршрут по городу Усть-Илимску,Усть-Илимск,"Маршрут включает в себя посещение учреждений культуры города Усть-Илимска.",https://www.izi.travel/ru/0335-kulturnyy-marshrut-po-gorodu-ust-ilimsku/ru,"Дворец культуры им. И.И. Наймушина|Детская библиотека «Родничок»|Центральная городская библиотека им. Н.С.Клестова-Ангарского|Библиотека имени Ю.Ф.Федотова|Центральная детская библиотека 'Первоцвет'|Библиотека искусств|Муниципальное бюджетное учреждение культуры «Картинная галерея»|Школа искусств № 2 им. Т. Г. Сафиулиной|Дворец Культуры «Дружба»|Краеведческий музей"
История в пару шагов,Усть-Илимск,"Приветствую тебя, жадный к истории человек!",https://www.izi.travel/ru/303e-istoriya-v-paru-shagov/ru,"Памятник—бюст Георгию Димитрову|Памятник 3 звезды|Памятник воевавшим в Афганистане и  Чечне|Памятник полиции|Часовня|Кандалы"
Черемхово,Черемхово,"Черемхо́во — город (с 1917 года) в Иркутской области России, административный центр Черемховского района (в который не входит). Образует муниципальное образование Черемховское муниципальное образование[3] (город Черемхово)[4] со статусом городского округа как единственный населённый пункт в его составе.",https://www.izi.travel/ru/4297-cheremkhovo/ru,"Черемхово мемориальный комплекс «Слава Героям Великой Отечественной войны»|Памятник черемховским угольщикам"
Люди-памятники,Саянск,"Здравствуйте,  дорогие гости и жители нашего города!",https://www.izi.travel/ru/a3e4-lyudi-pamyatniki/ru,"Памятник В.И. Ленину|Памятник Е.П. Славскому|Памятник В.Г. Распутину"
Что посмотреть в Саянске,Саянск,"Приветствуем вас, дорогие друзья! Если вы открыли аудиогид 'Что посмотреть в Саянске', значит вы отправляетесь в увлекательное путешествие по нашему городу.",https://www.izi.travel/ru/3e69-chto-posmotret-v-sayanske/ru,"Стела 'Саянск-город большой химии'|Картинная галерея|Икона Петра и Февронии Муромских|Дворец культуры 'Юность'|Сквер имени 40-летия Победы в ВОВ, с памятником в честь подвига Советского народа в ВОВ|Сквер Первостроителей|Музей трудовой славы АО 'Саянскхимпласт'|Памятник Дмитрию Перову|Музей истории города|Городской фонтан|Парк Зеленый|Благовещенский храм"
Храмы Слюдянского района,Слюдянка,"Предлагаемый тур познакомит с историей храмов и часовен в Слюдянском районе. Предполагает путешествие по всему Слюдянскому району. На автомобиле посетить эти места удастся за 1 день.",https://www.izi.travel/ru/4810-khramy-slyudyanskogo-rayona/ru,"Часовня святого пророка царя  Соломона|Часовня  Казанской иконы Божьей Матери|Храм Свято-Троицкий|Храм – часовня Архангела Михаила|Часовня святителя Николая Чудотворца|Храм Свято-Никольский|Храм Святителя Николая|Часовня Свято – Никольская|Храм Сошествия Святого Духа  (строительство)|Храм пророка Илии (строительство)|Часовня Николая Чудотворца|Храм Преображения Господня"
